ticker,Description,Category2,Category3,GICS Sector,Market cap,Dividend yield,Price to TTM earnings,Price to TTM sales,Price to book value,Action
TDY,Teledyne Technologies Inc,Common stocks,Large cap,Information Technology,"$19,504,467,930 ",0.00%,33.18,0,2.43,Analyze
WRB,WR Berkley Corp,Common stocks,Large cap,Financials,"$19,475,328,237 ",0.52%,13.62,0,2.75,Analyze
FSLR,First Solar Inc,Common stocks,Large cap,Information Technology,"$19,209,264,866 ",0.00%,89.03,0,3.27,Analyze
INVH,Invitation Homes Inc,REITs,Large cap,Real Estate,"$19,082,103,260 ",2.79%,63.9,0,1.86,Analyze
CAG,Conagra Brands Inc,Common stocks,Large cap,Consumer Staples,"$19,022,004,015 ",3.18%,17.64,0,2.09,Analyze
BBY,Best Buy Inc,Common stocks,Large cap,Consumer Discretionary,"$18,980,064,864 ",4.03%,10.67,0,6.08,Analyze
WAB,Westinghouse Air Brake Technologies,Common stocks,Large cap,Industrials,"$18,932,444,642 ",0.57%,31.18,0,1.84,Analyze
GRMN,Garmin Ltd,Common stocks,Large cap,Consumer Discretionary,"$18,823,314,860 ",0.67%,17.25,0,2.96,Analyze
ALGN,Align Technology Inc,Common stocks,Large cap,Health Care,"$18,728,217,276 ",0.00%,26.53,0,5.11,Analyze
MPWR,Monolithic Power Systems Inc,Common stocks,Large cap,Information Technology,"$18,704,509,320 ",0.94%,67.62,0,14.08,Analyze
AES,AES Corp,Common stocks,Large cap,Utilities,"$18,609,080,815 ",2.25%,-123.16,0,5.91,Analyze
ROL,Rollins Inc,Common stocks,Large cap,Industrials,"$18,605,608,632 ",1.13%,54.66,0,16.31,Analyze
WST,West Pharmaceutical Services Inc,Common stocks,Large cap,Health Care,"$18,560,069,841 ",0.29%,27.53,0,8.1,Analyze
CMS,CMS Energy Corp,Common stocks,Large cap,Utilities,"$18,552,882,400 ",2.85%,17.81,0,1.82,Analyze
MAA,"Mid-America Apartment Communities, Inc",REITs,Large cap,Real Estate,"$18,465,929,948 ",3.08%,30.68,0,3.08,Analyze
JBHT,JB Hunt Transport Services Inc,Common stocks,Large cap,Industrials,"$18,305,416,386 ",0.90%,21.35,0,5.63,Analyze
PAYC,Paycom Software Inc,Common stocks,Large cap,Information Technology,"$18,273,801,546 ",0.00%,83.81,0,18.55,Analyze
DRI,Darden Restaurants Inc,Common stocks,Large cap,Consumer Discretionary,"$18,231,453,341 ",3.12%,17.15,0,7.8,Analyze
AMCR,Amcor plc,Common stocks,Large cap,Materials,"$18,061,807,214 ",3.92%,18.58,0,3.92,Analyze
CLX,Clorox,Common stocks,Large cap,Consumer Staples,"$18,027,752,690 ",3.16%,38.61,0,44.21,Analyze
IEX,IDEX Corp,Common stocks,Large cap,Industrials,"$18,018,102,940 ",1.00%,37.01,0,6.09,Analyze
INCY,Incyte Corp,Common stocks,Large cap,Health Care,"$17,982,692,078 ",0.00%,19.27,0,4.66,Analyze
BALL,Ball Corporation,Common stocks,Large cap,Materials,"$17,931,118,968 ",1.40%,15.87,0,4.58,Analyze
TTWO,Take Two Interactive Software Inc,Common stocks,Large cap,Communication Services,"$17,626,042,804 ",0.00%,41.44,0,4.55,Analyze
SEDG,SolarEdge Technologies Inc,Common stocks,Large cap,Information Technology,"$17,608,003,523 ",0.00%,103.76,0,8.89,Analyze
MOH,Molina Healthcare Inc,Common stocks,Large cap,Health Care,"$17,534,600,000 ",0.00%,25.02,0,6.17,Analyze
BRO,Brown & Brown Inc,Common stocks,Large cap,Financials,"$17,353,034,426 ",0.69%,28.26,0,3.96,Analyze
EXPD,Expeditors International Of Washington,Common stocks,Large cap,Industrials,"$17,333,134,945 ",1.23%,11.76,0,4.51,Analyze
COO,"Cooper Companies, Inc.",Common stocks,Large cap,Health Care,"$17,293,282,610 ",0.02%,17.84,0,2.42,Analyze
LYV,Live Nation Entertainment Inc,Common stocks,Large cap,Communication Services,"$17,237,491,766 ",0.00%,-37.85,0,-32.78,Analyze
MRO,Marathon Oil Corp,Common stocks,Large cap,Energy,"$17,145,713,888 ",1.18%,7.9,0,1.5,Analyze
OMC,Omnicom Group Inc,Common stocks,Large cap,Communication Services,"$17,141,189,720 ",3.28%,13.57,0,5.61,Analyze
CINF,Cincinnati Financial Corp,Common stocks,Large cap,Financials,"$17,093,793,495 ",2.51%,8.33,0,1.41,Analyze
TRGP,Targa Resources Corp,Common stocks,Large cap,Energy,"$17,068,704,180 ",1.84%,-130.36,0,9.79,Analyze
FOX,Fox Corporation Class B,Common stocks,Large cap,Communication Services,"$17,060,041,201 ",1.61%,6.32,0,0.65,Analyze
FOXA,Fox Corporation Class A,Common stocks,Large cap,Communication Services,"$17,060,041,201 ",1.51%,8.49,0,0.87,Analyze
CF,CF Industries Holdings Inc,Common stocks,Large cap,Materials,"$17,050,826,229 ",1.72%,10.07,0,4.15,Analyze
KEY,Keycorp,Common stocks,Large cap,Financials,"$16,961,387,201 ",4.28%,6.86,0,1.05,Analyze
BR,Broadridge Financial Solutions Inc,Common stocks,Large cap,Information Technology,"$16,955,308,598 ",1.88%,30.73,0,9.3,Analyze
ETSY,Etsy Inc,Common stocks,Large cap,Consumer Discretionary,"$16,926,445,516 ",0.00%,38.84,0,25.01,Analyze
PKI,Perkinelmer Inc,Common stocks,Large cap,Health Care,"$16,884,976,989 ",0.21%,22.93,0,2.33,Analyze
UAL,United Continental Holdings Inc,Common stocks,Large cap,Industrials,"$16,876,363,652 ",0.00%,-8.05,0,4.41,Analyze
HWM,Howmet Aerospace Inc.,Common stocks,Large cap,Industrials,"$16,858,765,508 ",0.25%,53.27,0,4.73,Analyze
DGX,Quest Diagnostics Inc,Common stocks,Large cap,Health Care,"$16,848,511,720 ",1.75%,8.81,0,2.59,Analyze
CPB,Campbell Soup,Common stocks,Large cap,Consumer Staples,"$16,458,737,317 ",2.66%,17.1,0,4.7,Analyze
SJM,J.M. Smucker,Common stocks,Large cap,Consumer Staples,"$16,455,650,788 ",2.56%,27.75,0,1.94,Analyze
FMC,FMC Corp,Common stocks,Large cap,Materials,"$16,371,791,012 ",1.66%,20.95,0,5.21,Analyze
SWKS,Skyworks Solutions Inc,Common stocks,Large cap,Information Technology,"$16,273,965,713 ",2.30%,11.9,0,3.14,Analyze
RCL,Royal Caribbean Cruises Ltd,Common stocks,Large cap,Consumer Discretionary,"$16,198,954,312 ",0.00%,-3,0,3.98,Analyze
ATO,Atmos Energy Corp,Common stocks,Large cap,Utilities,"$16,180,172,857 ",2.41%,21.7,0,1.75,Analyze
FDS,Factset Research Systems Inc,Common stocks,Large cap,Financials,"$16,117,790,246 ",0.83%,39.17,0,13.51,Analyze
EXPE,Expedia Inc,Common stocks,Large cap,Consumer Discretionary,"$15,973,698,012 ",0.00%,74.3,0,7.69,Analyze
NVR,"NVR, Inc.",Common stocks,Large cap,Consumer Discretionary,"$15,954,634,917 ",0.00%,11.3,0,5.86,Analyze
J,Jacobs Engineering Group Inc.,Common stocks,Large cap,Industrials,"$15,954,284,999 ",0.68%,41.24,0,2.54,Analyze
AVY,Avery Dennison Corp,Common stocks,Large cap,Materials,"$15,816,487,195 ",1.50%,21.03,0,7.93,Analyze
MOS,Mosaic,Common stocks,Large cap,Materials,"$15,771,081,495 ",1.21%,6.03,0,1.38,Analyze
LKQ,LKQ Corp,Common stocks,Large cap,Consumer Discretionary,"$15,635,080,122 ",1.74%,13.66,0,2.59,Analyze
PTC,PTC Inc,Common stocks,Large cap,Information Technology,"$15,323,408,082 ",0.00%,31.85,0,7.34,Analyze
IRM,Iron Mountain Incorporated,REITs,Large cap,Real Estate,"$15,300,279,767 ",4.62%,33.87,0,19.98,Analyze
MGM,MGM Resorts International,Common stocks,Large cap,Consumer Discretionary,"$15,184,162,504 ",0.03%,9.6,0,2.9,Analyze
TER,Teradyne Inc,Common stocks,Large cap,Information Technology,"$15,176,878,866 ",0.45%,15.29,0,6.04,Analyze
ZBRA,Zebra Technologies Corp,Common stocks,Large cap,Information Technology,"$15,163,671,673 ",0.00%,18.81,0,5.27,Analyze
SYF,Synchrony Financial,Common stocks,Large cap,Financials,"$15,079,621,595 ",2.66%,3.66,0,1.09,Analyze
BEN,Franklin Resources Inc,Common stocks,Large cap,Financials,"$15,042,759,624 ",3.82%,7.93,0,1.3,Analyze
CPRT,Copart Inc,Common stocks,Large cap,Industrials,"$14,955,506,327 ",0.00%,13.82,0,3.44,Analyze
SIVB,SVB Financial Group,Common stocks,Large cap,Financials,"$14,937,385,259 ",0.00%,8.71,0,0.93,Analyze
TXT,Textron Inc,Common stocks,Large cap,Industrials,"$14,666,195,908 ",0.11%,19.12,0,2.09,Analyze
APA,Apache Corp,Common stocks,Large cap,Energy,"$14,577,345,057 ",1.37%,5.86,0,15.64,Analyze
GEN,Gen Digital Inc.,Common stocks,Large cap,Information Technology,"$14,570,920,538 ",2.23%,0,0,0,Analyze
PEAK,"Healthpeak Properties, Inc.",REITs,Large cap,Real Estate,"$14,540,460,895 ",4.36%,33.54,0,2.24,Analyze
EVRG,Evergy Inc,Common stocks,Large cap,Utilities,"$14,435,543,253 ",3.65%,17.81,0,1.56,Analyze
FLT,Fleetcor Technologies Inc,Common stocks,Large cap,Information Technology,"$14,359,584,881 ",0.00%,16.2,0,4.87,Analyze
L,Loews Corp,Common stocks,Large cap,Financials,"$14,297,857,071 ",0.41%,8.39,0,0.84,Analyze
ESS,"Essex Property Trust, Inc",REITs,Large cap,Real Estate,"$14,151,298,074 ",3.97%,35.45,0,2.34,Analyze
LW,Lamb Weston Holdings Inc,Common stocks,Large cap,Consumer Staples,"$14,122,337,114 ",0.99%,59.59,0,35.61,Analyze
VTRS,Viatris Inc.,Common stocks,Large cap,Health Care,"$13,994,380,261 ",4.09%,82.94,0,0.68,Analyze
IPG,Interpublic Group Of Companies Inc,Common stocks,Large cap,Communication Services,"$13,971,348,859 ",3.18%,13.56,0,3.97,Analyze
KIM,Kimco Realty Corporation,REITs,Large cap,Real Estate,"$13,948,417,024 ",3.48%,0,0,0,Analyze
AKAM,Akamai Technologies Inc,Common stocks,Large cap,Information Technology,"$13,947,391,300 ",0.00%,22.67,0,3.24,Analyze
NTAP,NetApp Inc,Common stocks,Large cap,Information Technology,"$13,938,973,264 ",3.06%,13.84,0,15.88,Analyze
NDSN,Nordson Corp,Common stocks,Large cap,Industrials,"$13,937,119,964 ",0.95%,27.42,0,6.14,Analyze
LNT,Alliant Energy Corp,Common stocks,Large cap,Utilities,"$13,934,221,783 ",3.04%,19.83,0,2.22,Analyze
RE,Everest Re Group Ltd,Common stocks,Large cap,Financials,"$13,821,732,149 ",1.83%,10.14,0,1.42,Analyze
POOL,Pool Corp,Common stocks,Large cap,Consumer Discretionary,"$13,632,180,238 ",1.08%,19.21,0,11.96,Analyze
IP,International Paper,Common stocks,Large cap,Materials,"$13,604,377,844 ",4.75%,7.45,0,1.48,Analyze
TRMB,Trimble Inc,Common stocks,Large cap,Information Technology,"$13,443,511,906 ",0.00%,27.44,0,3.36,Analyze
LDOS,Leidos Holdings Inc,Common stocks,Large cap,Industrials,"$13,443,417,931 ",1.46%,34.92,0,3.3,Analyze
BIO,Bio Rad Laboratories Inc Class A,Common stocks,Large cap,Health Care,"$13,319,462,472 ",0.00%,-110.71,0,1.1,Analyze
JKHY,"Jack Henry & Associates, Inc.",Common stocks,Large cap,Information Technology,"$13,259,288,942 ",1.07%,36.9,0,9.98,Analyze
SNA,Snap On Inc,Common stocks,Large cap,Industrials,"$13,225,405,730 ",2.34%,15.15,0,2.98,Analyze
CBOE,"Cboe Global Markets, Inc.",Common stocks,Large cap,Financials,"$13,206,169,966 ",1.56%,26.01,0,3.65,Analyze
TYL,Tyler Technologies Inc,Common stocks,Large cap,Information Technology,"$13,189,854,090 ",0.00%,77.25,0,5.32,Analyze
PARA,Paramount Global - Class B,Common stocks,Large cap,Communication Services,"$13,159,206,356 ",4.71%,3,0,0.54,Analyze
SWK,Stanley Black & Decker Inc,Common stocks,Large cap,Industrials,"$13,153,504,193 ",3.53%,9.6,0,1.39,Analyze
CE,Celanese Corporation,Common stocks,Large cap,Materials,"$13,151,240,732 ",2.24%,6.22,0,2.79,Analyze
UDR,"UDR, Inc",REITs,Large cap,Real Estate,"$13,070,502,467 ",4.68%,83.28,0,3.84,Analyze
MTCH,Match Group Inc,Common stocks,Large cap,Communication Services,"$12,884,390,670 ",0.00%,46.43,0,-107.69,Analyze
EQT,EQT Corporation,Common stocks,Large cap,Energy,"$12,776,871,434 ",1.57%,-4.69,0,1.51,Analyze
CPT,Camden Property Trust,REITs,Large cap,Real Estate,"$12,564,981,728 ",3.15%,34.76,0,2.91,Analyze
PKG,Packaging Corp Of America,Common stocks,Large cap,Materials,"$12,529,168,592 ",3.46%,13.14,0,3.21,Analyze
MKTX,Marketaxess Holdings Inc,Common stocks,Large cap,Financials,"$12,383,267,503 ",0.85%,51.09,0,12.09,Analyze
HST,"Host Hotels & Resorts, Inc",REITs,Large cap,Real Estate,"$12,162,622,215 ",1.92%,38.37,0,1.87,Analyze
VFC,VF Corp,Common stocks,Large cap,Consumer Discretionary,"$12,096,062,226 ",6.32%,8.37,0,3.2,Analyze
STX,Seagate Technology Plc,Common stocks,Large cap,Information Technology,"$11,953,597,600 ",4.80%,9.17,0,29.11,Analyze
DPZ,Dominos Pizza Inc,Common stocks,Large cap,Consumer Discretionary,"$11,945,166,450 ",1.30%,25.36,0,-2.92,Analyze
CRL,Charles River Laboratories International,Common stocks,Large cap,Health Care,"$11,835,392,959 ",0.00%,28.24,0,4.57,Analyze
WDC,Western Digital Corp,Common stocks,Large cap,Information Technology,"$11,822,943,980 ",0.00%,6.54,0,0.99,Analyze
GL,Globe Life Inc.,Common stocks,Large cap,Financials,"$11,796,933,373 ",0.68%,15.79,0,1.67,Analyze
MAS,Masco Corp,Common stocks,Large cap,Industrials,"$11,727,514,396 ",2.14%,20.7,0,-30.63,Analyze
CCL,Carnival Corp,Common stocks,Large cap,Consumer Discretionary,"$11,694,548,521 ",0.00%,-1.23,0,1.13,Analyze
PHM,Pultegroup Inc,Common stocks,Large cap,Consumer Discretionary,"$11,559,572,796 ",1.20%,5.56,0,1.57,Analyze
WYNN,Wynn Resorts Ltd,Common stocks,Large cap,Consumer Discretionary,"$11,359,687,498 ",0.00%,-16.93,0,-33.07,Analyze
TFX,Teleflex Inc,Common stocks,Large cap,Health Care,"$11,303,512,706 ",0.56%,22.74,0,2.92,Analyze
REG,Regency Centers Corporation,REITs,Large cap,Real Estate,"$11,290,677,066 ",3.77%,13.89,0,1.79,Analyze
NI,Nisource Inc,Common stocks,Large cap,Utilities,"$11,286,473,364 ",3.34%,16.61,0,1.52,Analyze
NWS,News Corp Class B,Common stocks,Large cap,Communication Services,"$11,271,296,401 ",1.01%,7.45,0,0.44,Analyze
NWSA,News Corp Class A,Common stocks,Large cap,Communication Services,"$11,271,296,401 ",1.02%,14.46,0,0.86,Analyze
BXP,"Boston Properties, Inc",REITs,Large cap,Real Estate,"$11,160,935,494 ",5.40%,20.36,0,1.91,Analyze
AAL,American Airlines Group Inc,Common stocks,Large cap,Industrials,"$11,061,313,097 ",0.00%,-4.65,0,-1.24,Analyze
CHRW,"C.H. Robinson Worldwide, Inc.",Common stocks,Large cap,Industrials,"$11,021,137,489 ",2.39%,11.71,0,5.26,Analyze
EMN,Eastman Chemical,Common stocks,Large cap,Materials,"$10,964,719,462 ",3.32%,12.95,0,1.8,Analyze
HSIC,Henry Schein Inc,Common stocks,Large cap,Health Care,"$10,893,958,603 ",0.00%,16.86,0,3.03,Analyze
UHS,Universal Health Services Inc.,Common stocks,Large cap,Health Care,"$10,790,840,866 ",0.54%,11.37,0,1.81,Analyze
BBWI,"Bath & Body Works, Inc.",Common stocks,Large cap,Consumer Discretionary,"$10,657,825,936 ",1.70%,8.58,0,-6.85,Analyze
TPR,Tapestry,Common stocks,Large cap,Consumer Discretionary,"$10,452,901,237 ",2.51%,12.16,0,4.16,Analyze
BWA,BorgWarner Inc,Common stocks,Large cap,Consumer Discretionary,"$10,415,166,806 ",1.52%,15.28,0,1.46,Analyze
CZR,Caesars Entertainment Corp,Common stocks,Large cap,Consumer Discretionary,"$10,378,562,499 ",0.00%,-17.41,0,2.74,Analyze
JNPR,Juniper Networks Inc,Common stocks,Large cap,Information Technology,"$10,366,303,405 ",2.61%,30.65,0,2.44,Analyze
KMX,Carmax Inc,Common stocks,Large cap,Consumer Discretionary,"$10,271,527,435 ",0.00%,8.7,0,1.91,Analyze
CDAY,Ceridian HCM Holding Inc.,Common stocks,Large cap,Information Technology,"$10,271,465,017 ",0.00%,-122.92,0,4.8,Analyze
QRVO,"Qorvo, Inc.",Common stocks,Large cap,Information Technology,"$10,179,503,089 ",0.00%,9.91,0,2.25,Analyze
ALLE,Allegion PLC,Common stocks,Mid cap,Industrials,"$9,993,226,951 ",1.43%,20.83,0,13.14,Analyze
WRK,Westrock,Common stocks,Mid cap,Materials,"$9,562,243,326 ",2.70%,11.63,0,0.8,Analyze
AOS,A O Smith Corp,Common stocks,Mid cap,Industrials,"$9,491,943,493 ",1.82%,18.04,0,5.08,Analyze
HAS,Hasbro Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,118,267,926 ",4.15%,24.4,0,2.99,Analyze
AAP,Advance Auto Parts Inc,Common stocks,Mid cap,Consumer Discretionary,"$9,079,657,636 ",3.92%,14.34,0,2.82,Analyze
CMA,Comerica Inc,Common stocks,Mid cap,Financials,"$8,975,478,798 ",3.91%,8.82,0,1.23,Analyze
HII,Huntington Ingalls Industries Inc,Common stocks,Mid cap,Industrials,"$8,901,281,776 ",2.13%,16.33,0,3.1,Analyze
FRT,Federal Realty Investment Trust,REITs,Mid cap,Real Estate,"$8,864,014,633 ",3.89%,33.87,0,3.35,Analyze
FFIV,F5 Networks Inc,Common stocks,Mid cap,Information Technology,"$8,848,227,168 ",0.00%,25.27,0,3.69,Analyze
CTLT,Catalent Inc,Common stocks,Mid cap,Health Care,"$8,832,612,948 ",0.00%,17.88,0,1.87,Analyze
IVZ,Invesco Ltd,Common stocks,Mid cap,Financials,"$8,818,273,549 ",3.67%,6.54,0,0.56,Analyze
PNW,Pinnacle West Corp,Common stocks,Mid cap,Utilities,"$8,527,377,100 ",4.45%,14.03,0,1.42,Analyze
RHI,Robert Half,Common stocks,Mid cap,Industrials,"$8,408,636,540 ",2.20%,12.7,0,5.74,Analyze
WHR,Whirlpool Corp,Common stocks,Mid cap,Consumer Discretionary,"$8,405,465,239 ",4.46%,4.93,0,1.79,Analyze
PNR,Pentair,Common stocks,Mid cap,Industrials,"$8,310,456,844 ",1.65%,15.25,0,3.3,Analyze
OGN,Organon & Co.,Common stocks,Mid cap,Health Care,"$8,154,922,953 ",3.40%,6.25,0,-6.5,Analyze
RL,Ralph Lauren Corp Class A,Common stocks,Mid cap,Consumer Discretionary,"$8,052,941,800 ",2.44%,16.07,0,2.96,Analyze
SEE,Sealed Air Corp,Common stocks,Mid cap,Materials,"$7,880,941,799 ",1.46%,14.33,0,41.08,Analyze
XRAY,Dentsply Sirona Inc,Common stocks,Mid cap,Health Care,"$7,855,029,433 ",1.36%,21.5,0,1.62,Analyze
DISH,Dish Network Corp Class A,Common stocks,Mid cap,Communication Services,"$7,689,932,795 ",0.00%,3.47,0,0.48,Analyze
ZION,Zions Bancorporation,Common stocks,Mid cap,Financials,"$7,688,856,378 ",3.04%,7.36,0,1.15,Analyze
MHK,Mohawk Industries Inc,Common stocks,Mid cap,Consumer Discretionary,"$7,538,312,897 ",0.00%,6.87,0,0.86,Analyze
NRG,NRG Energy Inc,Common stocks,Mid cap,Utilities,"$7,344,648,455 ",4.34%,1.82,0,1.45,Analyze
GNRC,Generac Holdings Inc,Common stocks,Mid cap,Industrials,"$7,201,088,651 ",0.00%,14,0,3.13,Analyze
SBNY,Signature Bank,Common stocks,Mid cap,Financials,"$7,177,079,323 ",1.88%,6.97,0,0.88,Analyze
DVA,Davita Inc,Common stocks,Mid cap,Health Care,"$7,120,603,000 ",0.00%,7.92,0,8.48,Analyze
AIZ,Assurant Inc,Common stocks,Mid cap,Financials,"$6,802,046,484 ",2.12%,4.96,0,1.34,Analyze
DXC,DXC Technology Company,Common stocks,Mid cap,Information Technology,"$6,628,179,075 ",0.00%,-10.92,0,1.4,Analyze
NCLH,Norwegian Cruise Line Holdings Ltd,Common stocks,Mid cap,Consumer Discretionary,"$6,586,421,043 ",0.00%,-1.59,0,4.34,Analyze
ALK,Alaska Air Group Inc,Common stocks,Mid cap,Industrials,"$6,378,674,521 ",0.00%,13.42,0,1.72,Analyze
NWL,Newell Brands Inc,Common stocks,Mid cap,Consumer Discretionary,"$6,373,576,000 ",5.84%,8.7,0,1.57,Analyze
LUMN,"CenturyLink, Inc.",Common stocks,Mid cap,Communication Services,"$6,104,038,774 ",12.43%,2.57,0,0.45,Analyze
LNC,Lincoln National Corp,Common stocks,Mid cap,Financials,"$5,335,363,580 ",5.61%,3.99,0,0.35,Analyze
TECH,Bio-Techne Corp,Common stocks,Mid cap,Health Care,"$3,172,746,746 ",0.39%,13.92,0,1.83,Analyze
TAP,Molson Coors Brewing Class B,Common stocks,Small cap,Consumer Staples,"$763,292,967 ",2.96%,0.51,0,0.04,Analyze
GEHC,GE HealthCare Technologies Inc.,Common stocks,Unknown,Health Care,$0 ,0.00%,0,0,0,Analyze
BABA,Ali Baba,ETF,,,,,,,,
SPY,Spyder ETF,ETF,,,,,,,,
QQQ,Nasdaq ETF,ETF,,,,,,,,
IWM,Russel ETF,ETF,,,,,,,,